,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,82,Eranakulam,154040,110535,Hibi Eaden,INC,57819
2,82,Eranakulam,154040,110535,M. Anil Kumar,CPIM,35870
3,82,Eranakulam,154040,110535,N. K. Mohandas,BJP,14878
4,82,Eranakulam,154040,110535,Iqbal Thamarassery,BSP,397
5,82,Eranakulam,154040,110535,Rubesh Jimmi Madathiparamban,SP,258
6,82,Eranakulam,154040,110535,Jossey Mathew,IND,117
7,82,Eranakulam,154040,110535,Anilkumar Ananthapuram,IND,115
8,82,Eranakulam,154040,110535,Anilkumar Puliyoth,IND,114
0,82,Eranakulam,154040,110535,,NOTA,940
1,82,Eranakulam,154040,110535,,Rejected votes,27
2,82,Eranakulam,154040,110535,,Votes not retrieved from EVM,0
