,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,83,Thrikkakara,181180,135367,P. T. Thomas,INC,61451
2,83,Thrikkakara,181180,135367,Sebastian Paul,CPIM,49455
3,83,Thrikkakara,181180,135367,S. Saji,BJP,21247
4,83,Thrikkakara,181180,135367,K. M. Shajahan,SDPI,956
5,83,Thrikkakara,181180,135367,P. A. Shibu,BSP,346
6,83,Thrikkakara,181180,135367,P. K. Vinod,IND,175
7,83,Thrikkakara,181180,135367,Silvi Sunil,IND,147
8,83,Thrikkakara,181180,135367,Sredharan,IND,82
9,83,Thrikkakara,181180,135367,Lal Viswan,IND,60
10,83,Thrikkakara,181180,135367,R. Rahul,IND,58
11,83,Thrikkakara,181180,135367,P. H. Ramachandran,IND,52
0,83,Thrikkakara,181180,135367,,NOTA,1275
1,83,Thrikkakara,181180,135367,,Rejected votes,63
2,83,Thrikkakara,181180,135367,,Votes not retrieved from EVM,0
