,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,84,Kunnathunad,172536,148328,V. P. Sajeendran,INC,65445
2,84,Kunnathunad,172536,148328,Shiji Shivaji,CPIM,62766
3,84,Kunnathunad,172536,148328,Thuravoor Suresh,BDJS,16459
4,84,Kunnathunad,172536,148328,N. O. Kuttappan,SP,1263
5,84,Kunnathunad,172536,148328,Orna Krishnankutty,PDP,653
6,84,Kunnathunad,172536,148328,Sajeendran Parappurathu,IND,436
7,84,Kunnathunad,172536,148328,Manoj,CPIMLL,116
0,84,Kunnathunad,172536,148328,,NOTA,1179
1,84,Kunnathunad,172536,148328,,Rejected votes,11
2,84,Kunnathunad,172536,148328,,Votes not retrieved from EVM,0
