,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,85,Piravom,199940,161199,Anoop Jacob,KCA,73770
2,85,Piravom,199940,161199,M. J. Jacob,CPIM,67575
3,85,Piravom,199940,161199,C. P. Sathyan,BDJS,17503
4,85,Piravom,199940,161199,Gireesh,PGR,485
5,85,Piravom,199940,161199,K. O Sudheer,SUCIC,342
6,85,Piravom,199940,161199,Anoop,IND,298
7,85,Piravom,199940,161199,Rajan,IND,233
0,85,Piravom,199940,161199,,NOTA,964
1,85,Piravom,199940,161199,,Rejected votes,29
2,85,Piravom,199940,161199,,Votes not retrieved from EVM,0
