,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,87,Kothamangalam,159494,128476,Antony John,CPIM,65467
2,87,Kothamangalam,159494,128476,T. U. Kuruvilla,KCM,46185
3,87,Kothamangalam,159494,128476,P. C. Cyriac IAS (Retd),NDA,12926
4,87,Kothamangalam,159494,128476,N. A. Anas,SDPI,1490
5,87,Kothamangalam,159494,128476,Yahiya Thangal,PDP,775
6,87,Kothamangalam,159494,128476,T. K. Kuruvila Thottathil,IND,357
7,87,Kothamangalam,159494,128476,Cheriyan Abraham,IND,261
8,87,Kothamangalam,159494,128476,Anto Johny,IND,163
0,87,Kothamangalam,159494,128476,,NOTA,803
1,87,Kothamangalam,159494,128476,,Rejected votes,49
2,87,Kothamangalam,159494,128476,,Votes not retrieved from EVM,0
