,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,88,Devikulam,164802,117390,S. Rajendran,CPIM,49510
2,88,Devikulam,164802,117390,A. K. Moni,INC,43728
3,88,Devikulam,164802,117390,R. M. Dhanalakshmi,AIADMK,11613
4,88,Devikulam,164802,117390,N. Chandran,BJP,9592
5,88,Devikulam,164802,117390,J. Rajeswary,IND,650
6,88,Devikulam,164802,117390,Rajendran Raju,PDP,485
7,88,Devikulam,164802,117390,C. K. Govindan,IND,303
8,88,Devikulam,164802,117390,K. Manikandan,IND,267
9,88,Devikulam,164802,117390,Pandiraj,IND,184
10,88,Devikulam,164802,117390,K. P. Ayyappan,IND,129
0,88,Devikulam,164802,117390,,NOTA,921
1,88,Devikulam,164802,117390,,Rejected votes,6
2,88,Devikulam,164802,117390,,Votes not retrieved from EVM,0
