,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,89,Udumbanchola,166763,126036,M. M. Mani,CPIM,50813
2,89,Udumbanchola,166763,126036,Senapathy Venu,INC,49704
3,89,Udumbanchola,166763,126036,Saji Parambathu,BDJS,21799
4,89,Udumbanchola,166763,126036,B. Soman,AIADMK,1651
5,89,Udumbanchola,166763,126036,Shanavas Baker,SDPI,831
6,89,Udumbanchola,166763,126036,Raju Manjakkunnel,BSP,486
7,89,Udumbanchola,166763,126036,M. J. Francis,IND,132
0,89,Udumbanchola,166763,126036,,NOTA,602
1,89,Udumbanchola,166763,126036,,Rejected votes,18
2,89,Udumbanchola,166763,126036,,Votes not retrieved from EVM,0
