,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,90,Thodupuzha,195916,141599,P. J. Joseph,KCM,76564
2,90,Thodupuzha,195916,141599,Roy Varicattu,LDF,30977
3,90,Thodupuzha,195916,141599,S. Praveen,BDJS,28845
4,90,Thodupuzha,195916,141599,Roy Arackal,SDPI,1294
5,90,Thodupuzha,195916,141599,Nisha Jimmy,SUCI,811
6,90,Thodupuzha,195916,141599,Najeeb Kalarickal,PDP,710
7,90,Thodupuzha,195916,141599,P. J. Ambily,BSP,440
8,90,Thodupuzha,195916,141599,P. K. Santhosh,IND,292
9,90,Thodupuzha,195916,141599,K. M. Veenas,IND,228
10,90,Thodupuzha,195916,141599,Pareeth,IND,194
0,90,Thodupuzha,195916,141599,,NOTA,1219
1,90,Thodupuzha,195916,141599,,Rejected votes,25
2,90,Thodupuzha,195916,141599,,Votes not retrieved from EVM,0
