,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,91,Idukki,184212,141292,Roshy Augustine,KCM,60556
2,91,Idukki,184212,141292,K. Francis George,KCD,51223
3,91,Idukki,184212,141292,Biju Madhavan,BDJS,27403
4,91,Idukki,184212,141292,Sabu Kochuparampil,BSP,566
5,91,Idukki,184212,141292,P. T. Poomkudi,IND,436
6,91,Idukki,184212,141292,Babu Kozhimala,SDPI,411
7,91,Idukki,184212,141292,Idukki Ravi,IND,250
0,91,Idukki,184212,141292,,NOTA,433
1,91,Idukki,184212,141292,,Rejected votes,14
2,91,Idukki,184212,141292,,Votes not retrieved from EVM,0
