,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,92,Peerumade,175515,128781,E. S. Bijimol,CPI,56584
2,92,Peerumade,175515,128781,Syriac Thomas,INC,56270
3,92,Peerumade,175515,128781,Kumar,BJP,11833
4,92,Peerumade,175515,128781,Abdul Kadar,AIADMK,2862
5,92,Peerumade,175515,128781,Benny Thomas,BSP,489
6,92,Peerumade,175515,128781,Ramaswamy Govindan,IND,175
7,92,Peerumade,175515,128781,M. T. Joseph,IND,107
0,92,Peerumade,175515,128781,,NOTA,448
1,92,Peerumade,175515,128781,,Rejected votes,13
2,92,Peerumade,175515,128781,,Votes not retrieved from EVM,0
