,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,93,Pala,180040,139807,K. M. Mani,KCM,58884
2,93,Pala,180040,139807,Mani C. Kappen,NCP,54181
3,93,Pala,180040,139807,N. Hari,BJP,24821
4,93,Pala,180040,139807,Jose Thomas Pandiyammakkal,IND,489
5,93,Pala,180040,139807,Antony,IND,217
6,93,Pala,180040,139807,Shaiju Ponkunnam,IND,103
7,93,Pala,180040,139807,P. S. Hassan Kunju,IND,90
8,93,Pala,180040,139807,Babu,IND,83
0,93,Pala,180040,139807,,NOTA,907
1,93,Pala,180040,139807,,Rejected votes,32
2,93,Pala,180040,139807,,Votes not retrieved from EVM,0
