,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,95,Vaikom,162607,132083,C. K. Asha,CPI,61997
2,95,Vaikom,162607,132083,A. Saneeshkumar,INC,37413
3,95,Vaikom,162607,132083,N. K. Neelakandan Master,BDJS,30067
4,95,Vaikom,162607,132083,K. C. Chandrasekharan,BSP,540
5,95,Vaikom,162607,132083,Subeesh Surendran,PDP,489
6,95,Vaikom,162607,132083,Anila Bose,SUCIC,420
7,95,Vaikom,162607,132083,K. C. Prakash,CPIMLR,204
8,95,Vaikom,162607,132083,Kuttan Kattachira,IND,118
0,95,Vaikom,162607,132083,,NOTA,800
1,95,Vaikom,162607,132083,,Rejected votes,35
2,95,Vaikom,162607,132083,,Votes not retrieved from EVM,0
