,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,96,Ettumanoor,165414,132313,Suresh Kurup,CPIM,53805
2,96,Ettumanoor,165414,132313,Thomas Chazhikadan,KCM,44906
3,96,Ettumanoor,165414,132313,A. G. Thankappan,BDJS,27540
4,96,Ettumanoor,165414,132313,Josemon Mundackal,IND,3774
5,96,Ettumanoor,165414,132313,Abdul Nazar,SDPI,706
6,96,Ettumanoor,165414,132313,C. P. Rajesh,BSP,453
7,96,Ettumanoor,165414,132313,M. S. Noushad,PDP,338
8,96,Ettumanoor,165414,132313,Asharaj,SUCIC,182
0,96,Ettumanoor,165414,132313,,NOTA,600
1,96,Ettumanoor,165414,132313,,Rejected votes,7
2,96,Ettumanoor,165414,132313,,Votes not retrieved from EVM,2
