,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,98,Puthuppally,173203,134055,Oommen Chandy,INC,71597
2,98,Puthuppally,173203,134055,Jaick C. Thomas,CPIM,44505
3,98,Puthuppally,173203,134055,George Kurian,BJP,15993
4,98,Puthuppally,173203,134055,Shibu Parakadavan,BSP,911
5,98,Puthuppally,173203,134055,M. V. Cherian,SUCIC,131
6,98,Puthuppally,173203,134055,K. M. Shivaprasad Gandhi,IND,103
7,98,Puthuppally,173203,134055,A. K. Shaji,IND,64
8,98,Puthuppally,173203,134055,Jijo,IND,51
9,98,Puthuppally,173203,134055,T. M. Joseph,IND,49
0,98,Puthuppally,173203,134055,,NOTA,630
1,98,Puthuppally,173203,134055,,Rejected votes,19
2,98,Puthuppally,173203,134055,,Votes not retrieved from EVM,0
