,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,99,Changanassery,167097,125808,C. F. Thomas,KCM,50371
2,99,Changanassery,167097,125808,K. C. Joseph,KCD,48522
3,99,Changanassery,167097,125808,Ettumanoor Radhakrishnan,BJP,21455
4,99,Changanassery,167097,125808,Althaph Hassan,SDPI,1797
5,99,Changanassery,167097,125808,Sojan Paviyanose,IND,1050
6,99,Changanassery,167097,125808,Raji Rajan,BSP,676
7,99,Changanassery,167097,125808,K. Suresh,IND,596
8,99,Changanassery,167097,125808,K. N. Rajan,SUCIC,312
9,99,Changanassery,167097,125808,Babu Vargese,KCS,292
10,99,Changanassery,167097,125808,Kunjumon Abraham,IND,151
0,99,Changanassery,167097,125808,,NOTA,571
1,99,Changanassery,167097,125808,,Rejected votes,15
2,99,Changanassery,167097,125808,,Votes not retrieved from EVM,0
