,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,100,Kanjirappally,178879,136718,N. Jayaraj,KCM,53126
2,100,Kanjirappally,178879,136718,V. B. Binu,CPI,49236
3,100,Kanjirappally,178879,136718,V. N. Manoj,BJP,31411
4,100,Kanjirappally,178879,136718,Arun M. John,BSP,1113
5,100,Kanjirappally,178879,136718,Muhammed Siyad,SDPI,839
6,100,Kanjirappally,178879,136718,Manoj Aruvikkuzhy,IND,138
7,100,Kanjirappally,178879,136718,K. P. Achuthan,IND,137
8,100,Kanjirappally,178879,136718,Sajan C. Madhavan,IND,90
0,100,Kanjirappally,178879,136718,,NOTA,618
1,100,Kanjirappally,178879,136718,,Rejected votes,10
2,100,Kanjirappally,178879,136718,,Votes not retrieved from EVM,0
