,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,101,Poonjar,183546,145786,P. C. George Plathottam,IND,63621
2,101,Poonjar,183546,145786,Georgekutty Augusty,KCM,35800
3,101,Poonjar,183546,145786,P. C. Joseph Ponnattu,KCD,22270
4,101,Poonjar,183546,145786,M. R. Ullas,BDJS,19966
5,101,Poonjar,183546,145786,P. A. Abdul Hakkim,WPI,804
6,101,Poonjar,183546,145786,Nishad Nadakal,PDP,530
7,101,Poonjar,183546,145786,Sainullaudeen,IND,525
8,101,Poonjar,183546,145786,Indulekha Joseph,IND,397
9,101,Poonjar,183546,145786,Georgekutty Sebastian,IND,375
10,101,Poonjar,183546,145786,P. C. Joseph Purathayil,IND,234
11,101,Poonjar,183546,145786,Siyam P. Ashraf,IND,194
12,101,Poonjar,183546,145786,George Chacko,IND,166
13,101,Poonjar,183546,145786,Raju Vattappara,SUCIC,148
14,101,Poonjar,183546,145786,James Joseph,IND,143
15,101,Poonjar,183546,145786,Santhosh Chennadu,KJP,96
16,101,Poonjar,183546,145786,T. M. Surendran,CPIMLR,94
17,101,Poonjar,183546,145786,Abraham,IND,77
0,101,Poonjar,183546,145786,,NOTA,313
1,101,Poonjar,183546,145786,,Rejected votes,33
2,101,Poonjar,183546,145786,,Votes not retrieved from EVM,0
