,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,102,Aroor,188601,161886,A. M. Ariff,CPIM,84720
2,102,Aroor,188601,161886,C. R. Jayaprakash,INC,46201
3,102,Aroor,188601,161886,Aniyappan,BDJS,27753
4,102,Aroor,188601,161886,Mohan Chacko,WPI,761
5,102,Aroor,188601,161886,K. Prathapan,SUCIC,556
6,102,Aroor,188601,161886,Liyakathali,SDPI,434
7,102,Aroor,188601,161886,Faizal,PDP,433
8,102,Aroor,188601,161886,Thuravoor Rajasekharan,IND,281
0,102,Aroor,188601,161886,,NOTA,736
1,102,Aroor,188601,161886,,Rejected votes,11
2,102,Aroor,188601,161886,,Votes not retrieved from EVM,0
