,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,103,Cherthala,204819,178190,P. Thilothaman,CPI,81197
2,103,Cherthala,204819,178190,S. Sarath,INC,74001
3,103,Cherthala,204819,178190,P. S. Rajeev,BDJS,19614
4,103,Cherthala,204819,178190,C. P. Thilakan,BSP,845
5,103,Cherthala,204819,178190,S. Sarath Kannattuchira Nikarth,IND,639
6,103,Cherthala,204819,178190,Sonnymon K. Mathew,IND,348
7,103,Cherthala,204819,178190,Vayalar Rajeevan,IND,174
8,103,Cherthala,204819,178190,K. V. Joseph,IND,150
0,103,Cherthala,204819,178190,,NOTA,687
1,103,Cherthala,204819,178190,,Rejected votes,45
2,103,Cherthala,204819,178190,,Votes not retrieved from EVM,490
