,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,105,Ambalapuzha,168896,133336,G. Sudhakaran,CPIM,63069
2,105,Ambalapuzha,168896,133336,Shaik P. Harriz,JDU,40448
3,105,Ambalapuzha,168896,133336,L. P. Jayachandran,BJP,22730
4,105,Ambalapuzha,168896,133336,K. S. Shan,SDPI,1622
5,105,Ambalapuzha,168896,133336,R. Arjunan,SUCIC,1439
6,105,Ambalapuzha,168896,133336,Nassar M. Pyngamadom,IND,1053
7,105,Ambalapuzha,168896,133336,A. Ansari,PDP,931
8,105,Ambalapuzha,168896,133336,Nasar Arattupuzha,WPI,878
9,105,Ambalapuzha,168896,133336,Joseph Kuttikkadan,IND,266
10,105,Ambalapuzha,168896,133336,P. G. Sugunan,IND,231
0,105,Ambalapuzha,168896,133336,,NOTA,627
1,105,Ambalapuzha,168896,133336,,Rejected votes,42
2,105,Ambalapuzha,168896,133336,,Votes not retrieved from EVM,0
