,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,106,Kuttanad,165118,130090,Thomas Chandy,NCP,50114
2,106,Kuttanad,165118,130090,Jacob Abraham,KCM,45223
3,106,Kuttanad,165118,130090,Subhash Vasu,BDJS,33044
4,106,Kuttanad,165118,130090,Nandanan Valiyaparambu,SUCIC,371
5,106,Kuttanad,165118,130090,P. M. Sanil (Sunny Pathinaril),BSP,354
6,106,Kuttanad,165118,130090,Jose Koippally,IND,263
7,106,Kuttanad,165118,130090,Jacob Abraham Panavelil,IND,262
8,106,Kuttanad,165118,130090,Mohanan,IND,105
0,106,Kuttanad,165118,130090,,NOTA,346
1,106,Kuttanad,165118,130090,,Rejected votes,12
2,106,Kuttanad,165118,130090,,Votes not retrieved from EVM,0
