,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,107,Haripad,188575,148844,Ramesh Chennithala,INC,75980
2,107,Haripad,188575,148844,P. Prasad,CPI,57359
3,107,Haripad,188575,148844,D. Aswani Dev,BJP,12985
4,107,Haripad,188575,148844,Varkala Raj,PDP,623
5,107,Haripad,188575,148844,Ashabul Haq,SDPI,512
6,107,Haripad,188575,148844,C. Balakrishnan,BSP,417
7,107,Haripad,188575,148844,Sidharthan Karuvatta,IND,149
8,107,Haripad,188575,148844,A. Muhammed,SUCIC,147
9,107,Haripad,188575,148844,Samudayathil Ravi R. Unnithan,IND,93
10,107,Haripad,188575,148844,Pradeep Karipuzha,IND,87
11,107,Haripad,188575,148844,B. Satheeshkumar,IND,75
12,107,Haripad,188575,148844,D. Prasool Prakash,IND,46
13,107,Haripad,188575,148844,Prasad Unikkanthara,IND,38
0,107,Haripad,188575,148844,,NOTA,321
1,107,Haripad,188575,148844,,Rejected votes,17
2,107,Haripad,188575,148844,,Votes not retrieved from EVM,0
