,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,108,Kayamkulam,203199,156814,U. Prathibha Hari,CPIM,72956
2,108,Kayamkulam,203199,156814,M. Liju,INC,61099
3,108,Kayamkulam,203199,156814,Shaji M. Panicker,BDJS,20000
4,108,Kayamkulam,203199,156814,Muttom Nazar,PDP,1125
5,108,Kayamkulam,203199,156814,P. Maniyappan Achary,IND,745
6,108,Kayamkulam,203199,156814,G. Veena,IND,177
7,108,Kayamkulam,203199,156814,P. Ajith,IND,159
8,108,Kayamkulam,203199,156814,Liju M. Valliyathu,IND,87
0,108,Kayamkulam,203199,156814,,NOTA,466
1,108,Kayamkulam,203199,156814,,Rejected votes,8
2,108,Kayamkulam,203199,156814,,Votes not retrieved from EVM,0
