,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,113,Aranmula,227692,161465,Veena George,CPIM,64523
2,113,Aranmula,227692,161465,K. Sivadasan Nair,INC,56877
3,113,Aranmula,227692,161465,M. T. Ramesh,BJP,37906
4,113,Aranmula,227692,161465,T. Amrithakumar,BSP,548
5,113,Aranmula,227692,161465,Sreekanth M. Vallakkott,SP,252
6,113,Aranmula,227692,161465,Chandran,IND,249
7,113,Aranmula,227692,161465,K. G. Anil Kumar,SUCIC,217
8,113,Aranmula,227692,161465,Habeeb Rehman,PDP,187
9,113,Aranmula,227692,161465,Shaji Mezhuveli,IND,104
0,113,Aranmula,227692,161465,,NOTA,569
1,113,Aranmula,227692,161465,,Rejected votes,33
2,113,Aranmula,227692,161465,,Votes not retrieved from EVM,0
