,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,114,Konni,196183,143299,Adoor Prakash,INC,72800
2,114,Konni,196183,143299,R. Sanal Kumar,CPIM,52052
3,114,Konni,196183,143299,D. Asoka Kumar,BJP,16713
4,114,Konni,196183,143299,Reyash,SDPI,401
5,114,Konni,196183,143299,Joshy Joseph,WPI,365
6,114,Konni,196183,143299,V. Suresh,IND,249
7,114,Konni,196183,143299,Biju Elamannoor,IND,133
8,114,Konni,196183,143299,S. Vishnu,SS,96
0,114,Konni,196183,143299,,NOTA,474
1,114,Konni,196183,143299,,Rejected votes,16
2,114,Konni,196183,143299,,Votes not retrieved from EVM,0
