,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,115,Adoor,208317,155021,Chittayam Gopakumar,CPI,76034
2,115,Adoor,208317,155021,K. K. Shaju,INC,50574
3,115,Adoor,208317,155021,P. Sudheer,BJP,25940
4,115,Adoor,208317,155021,Jyothish Perumpulickal,SDPI,673
5,115,Adoor,208317,155021,Plavinal Santhosh,BSP,410
6,115,Adoor,208317,155021,P. Ajitha,IND,408
7,115,Adoor,208317,155021,T. Vishnu Raj,PDP,307
0,115,Adoor,208317,155021,,NOTA,672
1,115,Adoor,208317,155021,,Rejected votes,3
2,115,Adoor,208317,155021,,Votes not retrieved from EVM,0
