,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,116,Karunagappally,204473,162351,R. Ramachandran,CPI,69902
2,116,Karunagappally,204473,162351,C. R. Mahesh,INC,68143
3,116,Karunagappally,204473,162351,V. Sadhasivan,BDJS,19115
4,116,Karunagappally,204473,162351,A. K. Salahudheen,SDPI,1738
5,116,Karunagappally,204473,162351,Mylakkadu Shah,PDP,1620
6,116,Karunagappally,204473,162351,Gopalakrishnan,BSP,649
7,116,Karunagappally,204473,162351,K. S. Ramachandran Puram,IND,594
0,116,Karunagappally,204473,162351,,NOTA,590
1,116,Karunagappally,204473,162351,,Rejected votes,0
2,116,Karunagappally,204473,162351,,Votes not retrieved from EVM,0
