,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,117,Chavara,175844,138197,N. Vijayan Pillai,CMPA,64666
2,117,Chavara,175844,138197,Shibu Baby john,RSP,58477
3,117,Chavara,175844,138197,M. Sunil,BJP,10276
4,117,Chavara,175844,138197,Shahul Thengumthara,PDP,1439
5,117,Chavara,175844,138197,Ansar Thevalakkara,SDPI,1106
6,117,Chavara,175844,138197,Shibu,IND,427
7,117,Chavara,175844,138197,Thevalakkara Manoj,BSP,403
8,117,Chavara,175844,138197,Abu Muhammed,IND,228
9,117,Chavara,175844,138197,Anilkumar Kallambalam,IND,162
10,117,Chavara,175844,138197,V. Subash,SS,121
11,117,Chavara,175844,138197,Chellappan,IND,121
12,117,Chavara,175844,138197,Karamkode Balakrishnan,IND,93
0,117,Chavara,175844,138197,,NOTA,667
1,117,Chavara,175844,138197,,Rejected votes,11
2,117,Chavara,175844,138197,,Votes not retrieved from EVM,0
