,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,118,Kunnathur,208502,159830,Kovoor Kunjumon,RSPL,75725
2,118,Kunnathur,208502,159830,Ullas Kovur,RSP,55196
3,118,Kunnathur,208502,159830,Thazhava Sahadevan,BDJS,21742
4,118,Kunnathur,208502,159830,Thulaseedharan Pallickal,SDPI,1698
5,118,Kunnathur,208502,159830,Kunjumon,IND,1516
6,118,Kunnathur,208502,159830,C. K. Gopi,PDP,1422
7,118,Kunnathur,208502,159830,V. Remadevi,BSP,740
8,118,Kunnathur,208502,159830,M. Manilal,IND,718
0,118,Kunnathur,208502,159830,,NOTA,1051
1,118,Kunnathur,208502,159830,,Rejected votes,27
2,118,Kunnathur,208502,159830,,Votes not retrieved from EVM,0
