,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,119,Kottarakkara,200527,150513,P. Aisha Potty,CPIM,83443
2,119,Kottarakkara,200527,150513,Savin Sathyan,INC,40811
3,119,Kottarakkara,200527,150513,Rajeswary Rajendran,BJP,24062
4,119,Kottarakkara,200527,150513,B. Madhu,IND,491
5,119,Kottarakkara,200527,150513,R. Sukumaran,BSP,386
6,119,Kottarakkara,200527,150513,Veliyam Shaji,SS,325
7,119,Kottarakkara,200527,150513,Hariprasad,IND,173
8,119,Kottarakkara,200527,150513,Ajayakumar Thankappan,IND,80
0,119,Kottarakkara,200527,150513,,NOTA,742
1,119,Kottarakkara,200527,150513,,Rejected votes,0
2,119,Kottarakkara,200527,150513,,Votes not retrieved from EVM,0
