,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,120,Pathanapuram,189785,142058,K. B. Ganesh Kumar,KCB,74429
2,120,Pathanapuram,189785,142058,P. V. Jagadishkumar,INC,49867
3,120,Pathanapuram,189785,142058,Reghu Damodharan (Bheeman Reghu),BJP,11700
4,120,Pathanapuram,189785,142058,Faizy M. Pasha,SDPI,3843
5,120,Pathanapuram,189785,142058,Perinad Gopalakrishnan,BSP,846
6,120,Pathanapuram,189785,142058,P. Reghu,IND,366
7,120,Pathanapuram,189785,142058,M. G. Sudheer,SS,254
8,120,Pathanapuram,189785,142058,M. G. Chandrasehkara Pillai,IND,194
9,120,Pathanapuram,189785,142058,R. Madhu,IND,105
0,120,Pathanapuram,189785,142058,,NOTA,454
1,120,Pathanapuram,189785,142058,,Rejected votes,0
2,120,Pathanapuram,189785,142058,,Votes not retrieved from EVM,0
