,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,121,Punaloor,204579,144490,K. Raju,CPI,82136
2,121,Punaloor,204579,144490,A. Younus Kunju,IUML,48554
3,121,Punaloor,204579,144490,Sissil Fernandez,KCTH,10558
4,121,Punaloor,204579,144490,K. Sasankan,SUCIC,1117
5,121,Punaloor,204579,144490,Nettayam Suji,IND,639
6,121,Punaloor,204579,144490,B. Satheeshkumar,SS,415
7,121,Punaloor,204579,144490,M. Navas,IND,164
0,121,Punaloor,204579,144490,,NOTA,888
1,121,Punaloor,204579,144490,,Rejected votes,19
2,121,Punaloor,204579,144490,,Votes not retrieved from EVM,0
