,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,122,Chadayamangalam,196703,145167,Mullakkara Retnakaran,CPI,71262
2,122,Chadayamangalam,196703,145167,M. M. Hassan,INC,49334
3,122,Chadayamangalam,196703,145167,K. Sivadasan,BJP,19259
4,122,Chadayamangalam,196703,145167,Jaleel Kadakkal,SDPI,1445
5,122,Chadayamangalam,196703,145167,Sajeed Khaleedu,WPI,1222
6,122,Chadayamangalam,196703,145167,S. Muhammed Najim,PDP,1098
7,122,Chadayamangalam,196703,145167,Sunny Ittiva,IND,538
8,122,Chadayamangalam,196703,145167,S. Sreejith,SS,284
0,122,Chadayamangalam,196703,145167,,NOTA,699
1,122,Chadayamangalam,196703,145167,,Rejected votes,26
2,122,Chadayamangalam,196703,145167,,Votes not retrieved from EVM,0
