,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,123,Kundara,200098,152584,J. Mercy Kutty Amma,CPIM,79047
2,123,Kundara,200098,152584,Rajmohan Unnithan,INC,48587
3,123,Kundara,200098,152584,M. S. Syama Kumar,BJP,20257
4,123,Kundara,200098,152584,Sharafath Mallam,SDPI,1325
5,123,Kundara,200098,152584,Kabeer Kutty I. Puthezham,PDP,1132
6,123,Kundara,200098,152584,S. M. Jaber,BSP,698
7,123,Kundara,200098,152584,Vijayakumar,IND,485
8,123,Kundara,200098,152584,V. Antony,SUCI,340
0,123,Kundara,200098,152584,,NOTA,687
1,123,Kundara,200098,152584,,Rejected votes,26
2,123,Kundara,200098,152584,,Votes not retrieved from EVM,0
