,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,124,Kollam,172499,129288,M. Mukesh,CPIM,63103
2,124,Kollam,172499,129288,Sooraj Ravi,INC,45492
3,124,Kollam,172499,129288,K. Sasikumar,NDA,17409
4,124,Kollam,172499,129288,Johnson Kandachira,SDPI,1576
5,124,Kollam,172499,129288,K. Balakrishnan,BSP,431
6,124,Kollam,172499,129288,Narayanan Nair,IND,209
7,124,Kollam,172499,129288,S. Chandran,IND,174
0,124,Kollam,172499,129288,,NOTA,889
1,124,Kollam,172499,129288,,Rejected votes,5
2,124,Kollam,172499,129288,,Votes not retrieved from EVM,0
