,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,126,Chathannoor,179869,133209,G. S. Jayalal,CPI,67606
2,126,Chathannoor,179869,133209,B. B. Gopakumar,BJP,33199
3,126,Chathannoor,179869,133209,Sooranad Rajasekharan,INC,30139
4,126,Chathannoor,179869,133209,T. Raju,IND,658
5,126,Chathannoor,179869,133209,A. Salimraj,BSP,491
6,126,Chathannoor,179869,133209,Velayudhan Pillai,SS,290
7,126,Chathannoor,179869,133209,L. Jayakala,API,212
0,126,Chathannoor,179869,133209,,NOTA,604
1,126,Chathannoor,179869,133209,,Rejected votes,10
2,126,Chathannoor,179869,133209,,Votes not retrieved from EVM,0
