,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,127,Varkala,179023,128184,V. Joy,CPIM,53102
2,127,Varkala,179023,128184,Varkala Kahar,INC,50716
3,127,Varkala,179023,128184,S. R. M. Aji,BDJS,19872
4,127,Varkala,179023,128184,Varkala R. Linees,BSP,1888
5,127,Varkala,179023,128184,Abdul Salam,SDPI,466
6,127,Varkala,179023,128184,S. Sunilkumar,IND,357
7,127,Varkala,179023,128184,Sudevan,IND,351
8,127,Varkala,179023,128184,Nadayara Jabbar,PDP,297
9,127,Varkala,179023,128184,Bhasidharan Nair,IND,138
10,127,Varkala,179023,128184,R. Salu,IND,135
11,127,Varkala,179023,128184,Varkala Sabesan,IND,126
12,127,Varkala,179023,128184,Vivekanandan,IND,101
0,127,Varkala,179023,128184,,NOTA,628
1,127,Varkala,179023,128184,,Rejected votes,7
2,127,Varkala,179023,128184,,Votes not retrieved from EVM,0
