,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,128,Attingal,198511,138152,B. Satyan,CPIM,72808
2,128,Attingal,198511,138152,K. Chandrababu,RSP,32425
3,128,Attingal,198511,138152,Raji Prasad,BJP,27602
4,128,Attingal,198511,138152,M. K. Manojkumar,SDPI,1437
5,128,Attingal,198511,138152,K. Sivanandan,BSP,789
6,128,Attingal,198511,138152,R. Rajesh,IND,639
7,128,Attingal,198511,138152,B. Jayanthakumar,SS,597
8,128,Attingal,198511,138152,C. R. Thulasi,IND,411
9,128,Attingal,198511,138152,P. Pratheeshkumar,IND,162
0,128,Attingal,198511,138152,,NOTA,1267
1,128,Attingal,198511,138152,,Rejected votes,15
2,128,Attingal,198511,138152,,Votes not retrieved from EVM,0
