,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,129,Chirayinkeezhu,196922,138393,V. Sasi,CPI,64692
2,129,Chirayinkeezhu,196922,138393,K. S. Ajith Kumar,INC,50370
3,129,Chirayinkeezhu,196922,138393,P. P. Vava,BJP,19478
4,129,Chirayinkeezhu,196922,138393,Sasi Panthalam,WPI,955
5,129,Chirayinkeezhu,196922,138393,Santhini,IND,639
6,129,Chirayinkeezhu,196922,138393,V. Ambili,PDP,589
7,129,Chirayinkeezhu,196922,138393,Ajith Nandancode,IND,226
8,129,Chirayinkeezhu,196922,138393,Shibu (Roy Korani),IND,206
9,129,Chirayinkeezhu,196922,138393,Ajith,IND,133
0,129,Chirayinkeezhu,196922,138393,,NOTA,1092
1,129,Chirayinkeezhu,196922,138393,,Rejected votes,13
2,129,Chirayinkeezhu,196922,138393,,Votes not retrieved from EVM,0
