,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,130,Nedumangad,204156,151381,C. Divakaran,CPI,57745
2,130,Nedumangad,204156,151381,Palod Ravi,INC,54124
3,130,Nedumangad,204156,151381,V. V. Rajesh,BJP,35139
4,130,Nedumangad,204156,151381,A. Abdul Salam,SDPI,1039
5,130,Nedumangad,204156,151381,M. I. Bipin,BSP,910
6,130,Nedumangad,204156,151381,Andoorkonam Sulfi,PDP,503
7,130,Nedumangad,204156,151381,G. Shibu,IND,318
8,130,Nedumangad,204156,151381,Perinjammala Aji,SS,251
9,130,Nedumangad,204156,151381,Soman,IND,217
10,130,Nedumangad,204156,151381,Divakaran Pani,IND,143
11,130,Nedumangad,204156,151381,Pariyaram Raveendran,IND,80
12,130,Nedumangad,204156,151381,Raveendran Nair,IND,63
0,130,Nedumangad,204156,151381,,NOTA,807
1,130,Nedumangad,204156,151381,,Rejected votes,42
2,130,Nedumangad,204156,151381,,Votes not retrieved from EVM,0
