,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,131,Vamanapuram,197212,141443,D. K. Murali,CPIM,65848
2,131,Vamanapuram,197212,141443,T. Sarathchandraprasad,INC,56252
3,131,Vamanapuram,197212,141443,R. V. Nikhil,BDJS,13956
4,131,Vamanapuram,197212,141443,Thachonam Nizamudeen,SDPI,1774
5,131,Vamanapuram,197212,141443,Anil Palode,BSP,901
6,131,Vamanapuram,197212,141443,S. Sugathan,IND,517
7,131,Vamanapuram,197212,141443,G. Ajith,SS,515
8,131,Vamanapuram,197212,141443,Irinchayam Suresh,IND,286
9,131,Vamanapuram,197212,141443,O. Binumon,IND,246
10,131,Vamanapuram,197212,141443,Anil K. Ponganadu,API,228
11,131,Vamanapuram,197212,141443,Maniraj Bharathanoor,IND,123
0,131,Vamanapuram,197212,141443,,NOTA,789
1,131,Vamanapuram,197212,141443,,Rejected votes,8
2,131,Vamanapuram,197212,141443,,Votes not retrieved from EVM,0
