,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,132,Kazhakkoottam,181732,133959,Kadakampally Surendran,CPIM,50079
2,132,Kazhakkoottam,181732,133959,V. Muraleedharan,BJP,42732
3,132,Kazhakkoottam,181732,133959,M. A. Vaheed,INC,38602
4,132,Kazhakkoottam,181732,133959,Kochumani,BSP,496
5,132,Kazhakkoottam,181732,133959,N. A. Vahid Puthumangalam,IND,412
6,132,Kazhakkoottam,181732,133959,Aneesh,IND,370
7,132,Kazhakkoottam,181732,133959,Surendran Pillai,IND,108
8,132,Kazhakkoottam,181732,133959,Manimekhala,IND,84
9,132,Kazhakkoottam,181732,133959,Sasikala,IND,83
10,132,Kazhakkoottam,181732,133959,A. Murukan,IND,59
11,132,Kazhakkoottam,181732,133959,Muraleedharan Vaishnavam,IND,58
12,132,Kazhakkoottam,181732,133959,P. Prasad,IND,54
0,132,Kazhakkoottam,181732,133959,,NOTA,822
1,132,Kazhakkoottam,181732,133959,,Rejected votes,1
2,132,Kazhakkoottam,181732,133959,,Votes not retrieved from EVM,0
