,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,133,Vattiyoorkavu,195127,137159,K. Muraleedharan,INC,51322
2,133,Vattiyoorkavu,195127,137159,Kummanam Rajasekharan,BJP,43700
3,133,Vattiyoorkavu,195127,137159,T. N. Seema,CPIM,40441
4,133,Vattiyoorkavu,195127,137159,Mekkansi K. John,BSP,399
5,133,Vattiyoorkavu,195127,137159,D. Binu,IND,147
6,133,Vattiyoorkavu,195127,137159,Sahadevan,IND,103
7,133,Vattiyoorkavu,195127,137159,K. G. Mohanan,IND,77
8,133,Vattiyoorkavu,195127,137159,D. Baby,IND,53
9,133,Vattiyoorkavu,195127,137159,Saju Ameerdas,IND,48
0,133,Vattiyoorkavu,195127,137159,,NOTA,816
1,133,Vattiyoorkavu,195127,137159,,Rejected votes,51
2,133,Vattiyoorkavu,195127,137159,,Votes not retrieved from EVM,0
