,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,134,Thiruvananthapuram,193042,126236,V. S Sivakumar,INC,46474
2,134,Thiruvananthapuram,193042,126236,Antony Raju,KCD,35569
3,134,Thiruvananthapuram,193042,126236,Sreesanth,BJP,34764
4,134,Thiruvananthapuram,193042,126236,Biju Ramesh,AIADMK,5762
5,134,Thiruvananthapuram,193042,126236,Nandavanam Suseelan,IND,450
6,134,Thiruvananthapuram,193042,126236,Antony Raju New Colony,IND,424
7,134,Thiruvananthapuram,193042,126236,D. Mohanambika,BSP,398
8,134,Thiruvananthapuram,193042,126236,P. S. Gopakumar,SUCIC,344
9,134,Thiruvananthapuram,193042,126236,Sivakumar Raveendran Nair,IND,208
10,134,Thiruvananthapuram,193042,126236,Praveen Arimbrathodiyil,IND,170
11,134,Thiruvananthapuram,193042,126236,M. S. Subi,IND,113
12,134,Thiruvananthapuram,193042,126236,Sivakumar Pushkaran,IND,101
0,134,Thiruvananthapuram,193042,126236,,NOTA,1435
1,134,Thiruvananthapuram,193042,126236,,Rejected votes,24
2,134,Thiruvananthapuram,193042,126236,,Votes not retrieved from EVM,0
