,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,135,Nemom,192418,142914,O. Rajagopal,BJP,67813
2,135,Nemom,192418,142914,V. Sivankutty,CPIM,59142
3,135,Nemom,192418,142914,V. Surendran Pillai,JDU,13860
4,135,Nemom,192418,142914,A. Noushad,AITC,406
5,135,Nemom,192418,142914,B. Shamlaja Beevi,IND,330
6,135,Nemom,192418,142914,J. Vikraman Prachalloor,IND,170
7,135,Nemom,192418,142914,Jain Wilson,IND,163
8,135,Nemom,192418,142914,N. Saileswara Babu,IND,114
0,135,Nemom,192418,142914,,NOTA,884
1,135,Nemom,192418,142914,,Rejected votes,32
2,135,Nemom,192418,142914,,Votes not retrieved from EVM,0
