,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,136,Aruvikkara,189484,143782,K. S. Sabarinadhan,INC,70910
2,136,Aruvikkara,189484,143782,A. A. Rasheed,CPIM,49596
3,136,Aruvikkara,189484,143782,Rajasenan,BJP,20294
4,136,Aruvikkara,189484,143782,M. A. Jaleel,IND,707
5,136,Aruvikkara,189484,143782,E. Chithralekha,BSP,673
6,136,Aruvikkara,189484,143782,Sabarinath,IND,331
7,136,Aruvikkara,189484,143782,Cherappally Viswanathan,IND,188
8,136,Aruvikkara,189484,143782,Rasheed,IND,158
9,136,Aruvikkara,189484,143782,A. P. Kakkadu,IND,134
10,136,Aruvikkara,189484,143782,B. Ajitha,IND,130
0,136,Aruvikkara,189484,143782,,NOTA,640
1,136,Aruvikkara,189484,143782,,Rejected votes,21
2,136,Aruvikkara,189484,143782,,Votes not retrieved from EVM,0
