,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,137,Parassala,210158,157988,C. K. Harindran,CPIM,70156
2,137,Parassala,210158,157988,A. T. George,INC,51590
3,137,Parassala,210158,157988,Karamana Jayan,BJP,33028
4,137,Parassala,210158,157988,S. Binoy,BSP,745
5,137,Parassala,210158,157988,Shaju Paliyodu,IND,732
6,137,Parassala,210158,157988,Dalumugham Johny Thampy,IND,294
7,137,Parassala,210158,157988,Vellarada Mohanraj,IND,287
8,137,Parassala,210158,157988,V. Selvan,IND,243
9,137,Parassala,210158,157988,Shajahan Kudappanamoodu,IND,163
0,137,Parassala,210158,157988,,NOTA,742
1,137,Parassala,210158,157988,,Rejected votes,8
2,137,Parassala,210158,157988,,Votes not retrieved from EVM,0
