,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,138,Kattakkada,187387,143653,I. B. Satheesh,CPIM,51614
2,138,Kattakkada,187387,143653,N. Shakthan,INC,50765
3,138,Kattakkada,187387,143653,P. K. Krishnadas,BJP,38700
4,138,Kattakkada,187387,143653,S. R. Biju,BSP,709
5,138,Kattakkada,187387,143653,Ashraf Pravachambalam,SDPI,627
6,138,Kattakkada,187387,143653,S. Mini,SUCIC,295
7,138,Kattakkada,187387,143653,K. Sasikumar,IND,192
0,138,Kattakkada,187387,143653,,NOTA,732
1,138,Kattakkada,187387,143653,,Rejected votes,19
2,138,Kattakkada,187387,143653,,Votes not retrieved from EVM,0
