,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,139,Kovalam,207401,153989,M. Vincent,INC,60268
2,139,Kovalam,207401,153989,Jameela Prakasam,JDS,57653
3,139,Kovalam,207401,153989,Kovalam T. N. Suresh,BDJS,30987
4,139,Kovalam,207401,153989,K. R. Anish,BSP,996
5,139,Kovalam,207401,153989,M. C. Jayalal,IND,933
6,139,Kovalam,207401,153989,Pramod Kumar,IND,564
7,139,Kovalam,207401,153989,T. Sarasamma,IGP,558
8,139,Kovalam,207401,153989,S. Shaji,AITC,400
9,139,Kovalam,207401,153989,M. Sugathan,IND,389
10,139,Kovalam,207401,153989,Silvaster,IND,373
0,139,Kovalam,207401,153989,,NOTA,845
1,139,Kovalam,207401,153989,,Rejected votes,23
2,139,Kovalam,207401,153989,,Votes not retrieved from EVM,0
