,no.,constituency,no._of_voters,turn_out,winner,winner_party,winner_votes,winner_alliance,runner_up,runner_up_party,runner_up_votes,runner_up_alliance,third,third_party,third_votes,third_alliance,fourth,fourth_party,fourth_votes,fourth_alliance,lead
0,1,Manjeshwar,208104,158886,P. B. Abdul Razak,IUML,56870,UDF,K. Surendran,BJP,56781,NDA,C. H. Kunhambu,CPIM,42565,LDF,Basheer Ahamad,PDP,759,,89
1,2,Kasaragod,188828,144773,N. A. Nellikkunnu,IUML,64727,UDF,Ravisha Thanthri Kuntar,BJP,56120,NDA,A. A. Ameen,INL,21615,LDF,B. Vijayakumar,BSP,585,,8607
2,3,Udma,199775,160909,K. Kunhiraman,CPIM,70679,LDF,K. Sudhakaran,INC,66847,UDF,K. Shreekanth,BJP,21231,NDA,Gopi Kuthirakallu,PDP,353,,3832
3,4,Kanhangad,204407,161281,E. Chandrasekharan,CPI,80558,LDF,Dhanya Suresh,INC,54547,UDF,M. P. Raghavan,BDJS,21104,NDA,Chandran Parappa,BSP,965,,26011
4,5,Trikaripur,189819,155720,M. Rajagopalan,CPIM,79286,LDF,K. P. Kunhikannan,INC,62327,UDF,M. Bhaskaran,BJP,10767,NDA,C. H. Muthalib,WPI,1029,,16959
5,6,Payyannur,175319,143469,C. Krishnan,CPIM,83226,LDF,Sajid Mavval,INC,42963,UDF,Aniamma Teacher,BJP,15341,NDA,Vinod Kumar Ramanthali,CPIMLR,870,,40263
6,7,Kalliasseri,176793,138758,T. V. Rajesh,CPIM,83006,LDF,Amritha Ramakrishnan,INC,40115,UDF,K. P. Arun Master,BJP,11036,NDA,Sunil Koyilerian,IND,1455,IND,42891
7,8,Taliparamba,197195,159977,James Mathew,CPIM,91106,LDF,Rajesh Nambiar,KCM,50489,UDF,P. Balakrishnan Master,BJP,14742,NDA,Ibrahim Thiruvattoor,SDPI,1323,,40617
8,9,Irikkur,188174,148073,K. C. Joseph,INC,72548,UDF,K. T. Jose,CPI,62901,LDF,A. P. Gangadharan,BJP,8294,NDA,Binoy Thomas,IND,2734,IND,9647
9,10,Azhikode,172105,141534,K. M. Shaji,IUML,63082,UDF,M. V. Nikesh Kumar,CPIM,60795,LDF,A. V. Kesavan,BJP,12580,NDA,K. K. Abdul Jabbar,SDPI,1705,,2287
10,11,Kannur,162625,126203,Ramachandran Kadannappalli,CS,54347,LDF,Satheesan Pacheni,INC,53151,UDF,K. G. Babu,BJP,13215,NDA,K. P. Sufira,SDPI,2551,,1196
11,12,Dharmadam,183791,153660,Pinarayi Vijayan,CPIM,87329,LDF,Mambaram Divakaran,INC,50424,UDF,Mohanan Manantheri,BJP,12763,NDA,Tharammal Niyas,SDPI,1994,,36905
12,13,Thalassery,166652,132674,A. N. Shamseer,CPIM,70741,LDF,A. P. Abdullakutty,INC,36624,UDF,V. K. Sajeevan,BJP,22125,NDA,Jabeena Irshad,WPI,1337,,34117
13,14,Kuthuparamba,179886,146611,K. K. Shylaja Teacher,CPIM,67013,LDF,K. P. Mohanan S/O P R Kurup,JDU,54722,UDF,C. Sadanandan Master,BJP,20787,NDA,K. C. Muhammad Shabeer,SDPI,1681,,12291
14,15,Mattannur,177722,148702,E. P. Jayarajan,CPIM,84030,LDF,K. P. Prasanth,JDU,40649,UDF,Biju Elakkuzhi,BJP,18620,NDA,Rafeekh Keecheri,SDPI,3188,,43381
15,16,Peravoor,168330,136526,Sunny Joseph,INC,65659,UDF,Binoy Kurian,CPIM,57670,LDF,Paily Vathiattu,BDJS,9129,NDA,P. K. Farookh,SDPI,1935,,7989
16,17,Mananthavady,187688,145596,O. R. Kelu,CPIM,62436,LDF,P. K. Jayalakshmi,INC,61129,UDF,K. Mohandas,BJP,16230,NDA,P. N. Soman,SDPI,1377,,1307
17,18,Sulthanbathery,218199,172044,I. C. Balakrishnan,INC,75747,UDF,Rugmini Subrahmanian,CPIM,64549,LDF,C. K. Janu,NDA,27920,NDA,Mukundan Cheengeri,BSP,791,,11198
18,19,Kalpetta,190879,150970,C. K. Saseendran,CPIM,72959,LDF,M. V. Shreyams Kumar,JDU,59876,UDF,K. Sadanandan,BJP,12938,NDA,Joseph Ambalavayal,WPI,900,,13083
19,20,Vadakara,158057,129590,C. K. Nanu,JDS,49211,LDF,Manayath Chandran,JDU,39700,UDF,K. K. Rema T P House,IND,20504,IND,M. Rajesh Kumar,BJP,13937,NDA,9511
20,21,Kuttiadi,181907,157814,Parakkal Abdulla,IUML,71809,UDF,K. K. Lathika,CPIM,70652,LDF,Ramadas Manaleri,BJP,12327,NDA,P. C. Baskaran,WPI,1125,,1157
21,22,Nadapuram,200522,162950,E. K. Vijayan,CPI,74742,LDF,K. Praveenkumar,INC,69983,UDF,M. P. Rajan,BJP,14493,NDA,Abdul Raheem,SDPI,2183,,4759
22,23,Quilandy,188135,153726,K. Dasan,CPIM,70593,LDF,N. Subramanian,INC,57224,UDF,K. Rajinesh Babu,BJP,22087,NDA,Ismayil Kammana,SDPI,798,,13369
