,No.,Constituency,No. of voters,Turn out,Turn out Percentage,NOTA,Rejected votes,Votes not retrieved from EVM
0,1,Manjeshwar,208104,158886,76.34932533733134,646,2,0
1,2,Kasaragod,188828,144773,76.66924396805558,661,32,0
2,3,Udma,199775,160909,80.54511325240895,405,54,0
3,4,Kanhangad,204407,161281,78.90189670608149,856,113,0
4,5,Trikaripur,189819,155720,82.03604486379129,774,49,0
5,6,Payyannur,175319,143469,81.83311563492833,1042,40,0
6,7,Kalliasseri,176793,138758,78.48613915709332,620,28,0
7,8,Taliparamba,197195,159977,81.12629630568726,867,4,0
8,9,Irikkur,188174,148073,78.68940448733619,553,6,0
9,10,Azhikode,172105,141534,82.23700647860318,453,36,0
10,11,Kannur,162625,126203,77.60368946963874,517,25,0
11,12,Dharmadam,183791,153660,83.60583488854188,615,53,0
12,13,Thalassery,166652,132674,79.61140580371072,514,37,0
13,14,Kuthuparamba,179886,146611,81.50217359883482,501,24,0
14,15,Mattannur,177722,148702,83.67112681603854,1420,42,0
15,16,Peravoor,168330,136526,81.10616051803007,458,28,0
16,17,Mananthavady,187688,145596,77.5734197178296,1050,4,0
17,18,Sulthanbathery,218199,172044,78.8472907758514,1261,40,0
18,19,Kalpetta,190879,150970,79.09199021369558,1172,63,0
19,20,Vadakara,158057,129590,81.98940888413674,506,18,0
20,21,Kuttiadi,181907,157814,86.75532002616721,375,4,0
21,22,Nadapuram,200522,162950,81.26290382102712,446,21,0
22,23,Quilandy,188135,153726,81.71047386185452,653,56,0
23,24,Perambra,179200,153429,85.61886160714286,616,35,1
24,25,Balusseri,209503,174595,83.33770876789355,638,33,0
25,26,Elathur,188260,157000,83.39530436630193,986,12,0
26,27,Kozhikode North,169590,132647,78.21628633763783,770,30,0
27,28,Kozhikode South,148895,115626,77.65606635548541,788,9,0
28,29,Beypore,190986,155710,81.52953619637042,605,11,0
29,30,Kunnamangalam,209958,180351,85.8986082930872,1148,10,0
31,31,Koduvally,167618,137402,81.97329642401174,582,13,0
32,32,Thiruvambady,168262,135697,80.6462540561743,776,11,0
33,33,Kondotty,188264,149595,79.460226065525,581,39,0
34,34,Eranad,165979,135856,81.85131854029727,461,6,0
35,35,Nilambur,206057,162524,78.87332145959613,1256,21,0
36,36,Wandoor,210087,155865,74.19069242742293,808,25,0
37,37,Manjeri,190187,138976,73.07334360392666,913,30,0
38,38,Perinthalmanna,194727,151439,77.76990350593395,507,28,0
39,39,Mankada,194288,151210,77.82776084987235,479,14,981
40,40,Malappuram,193690,141880,73.2510712994992,826,30,0
41,41,Vengara,169460,120287,70.9825327510917,531,19,0
42,42,Vallikkunnu,183523,137533,74.94047067669992,752,49,0
43,43,Tirurangadi,182655,135258,74.05107990473844,630,20,0
44,44,Tanur,175511,140838,80.2445430770721,569,0,0
45,45,Tirur,204129,156792,76.81025234043179,692,31,0
46,46,Kottakkal,198642,148470,74.74250158576736,806,5,0
47,47,Thavanur,184684,142122,76.9541487080635,473,8,0
48,48,Ponnani,190378,141762,74.46343590120708,604,13,0
49,49,Thrithala,178562,141053,78.99385087532622,549,32,0
50,50,Pattambi,179768,140128,77.94935694895644,435,9,0
52,51,Shornur,184811,141674,76.6588568862243,800,12,0
53,52,Ottapalam,197601,150223,76.02340069129205,1013,12,0
54,53,Kongad,173767,134075,77.15791836194444,1163,14,0
55,54,Mannarkad,189358,148512,78.42921872854593,927,14,0
56,55,Malampuzha,202815,159760,78.77129403643714,924,50,0
57,56,Palakkad,178358,137836,77.28052568429787,719,36,0
58,57,Tarur,164194,129501,78.87072609230545,1128,24,1167
59,58,Chittur,185978,154466,83.05606039424018,1260,186,0
60,59,Nenmara,190746,154601,81.05071665985132,1053,26,0
61,60,Alathur,165243,128653,77.85685324037932,1076,20,0
62,61,Chelakkara,190891,151228,79.22217391076583,922,3,0
63,62,Kunnamkulam,191232,150932,78.92612115127176,648,7,0
64,63,Guruvayoor,201591,147684,73.2592228819739,605,30,0
65,64,Manalur,211827,162642,76.78058037927177,730,28,0
66,65,Wadakkanchery,197438,159779,80.9261641629271,968,15,0
67,66,Ollur,193385,150727,77.94141220880627,1151,8,0
68,67,Thrissur,172294,127234,73.84702891569061,1128,47,0
69,68,Nattika,196670,150484,76.51599125438553,903,15,0
72,69,Kaipamangalam,169649,134729,79.41632429309928,565,13,0
73,70,Irinjalakkuda,191836,149328,77.84148960570488,857,7,0
74,71,Puthukkad,195224,158731,81.30711387944105,779,12,0
75,72,Chalakkudy,190620,150427,78.91459448116672,739,35,0
76,73,Kodungallur,186690,148622,79.60897744924742,886,45,0
77,74,Perumbavoor,172897,145733,84.28891189552161,831,6,0
78,75,Angamaly,163628,136173,83.2210868555504,811,16,0
79,76,Aluva,176415,146864,83.24915681773092,750,59,0
81,77,Kalamassery,190479,154947,81.34597514686658,1081,65,0
82,78,Paravur,191255,160589,83.96590938798985,900,15,0
83,79,Vypen,164193,131187,79.89804681076538,910,18,0
84,80,Kochi,171356,123985,72.35521370713602,1002,31,0
85,81,Thripunithura,198222,154687,78.03725116283762,1028,2,0
86,82,Eranakulam,154040,110535,71.75733575694625,940,27,0
87,83,Thrikkakara,181180,135367,74.71409647864003,1275,63,0
88,84,Kunnathunad,172536,148328,85.96930495664672,1179,11,0
89,85,Piravom,199940,161199,80.62368710613184,964,29,0
90,86,Muvattupuzha,177882,142630,80.18236808670916,633,14,0
91,87,Kothamangalam,159494,128476,80.55224647949139,803,49,0
92,88,Devikulam,164802,117390,71.23093166345069,921,6,0
93,89,Udumbanchola,166763,126036,75.57791596457248,602,18,0
94,90,Thodupuzha,195916,141599,72.27536291063517,1219,25,0
95,91,Idukki,184212,141292,76.70075782250885,433,14,0
96,92,Peerumade,175515,128781,73.37321596444748,448,13,0
97,93,Pala,180040,139807,77.65329926682959,907,32,0
98,94,Kaduthuruthy,182685,127174,69.61381613159263,1533,2,0
99,95,Vaikom,162607,132083,81.2283604026887,800,35,0
100,96,Ettumanoor,165414,132313,79.98899730373488,600,7,2
102,97,Kottayam,164025,128624,78.41731443377535,483,22,0
103,98,Puthuppally,173203,134055,77.39762013360046,630,19,0
104,99,Changanassery,167097,125808,75.29040018671789,571,15,0
105,100,Kanjirappally,178879,136718,76.43043621666042,618,10,0
106,101,Poonjar,183546,145786,79.42750046309916,313,33,0
107,102,Aroor,188601,161886,85.83517584742393,736,11,0
108,103,Cherthala,204819,178190,86.99876476303469,687,45,490
109,104,Alappuzha,193493,156228,80.7409053557493,856,78,0
110,105,Ambalapuzha,168896,133336,78.94562334217507,627,42,0
111,106,Kuttanad,165118,130090,78.78608025775506,346,12,0
112,107,Haripad,188575,148844,78.93092933845949,321,17,0
