,no.,constituency,no._of_voters,turn_out,name_of_the_candidate,party,votes,alliance
0,1,Manjeshwar,208104,158886,P. B. Abdul Razak,IUML,56870,UDF
1,2,Kasaragod,188828,144773,N. A. Nellikkunnu,IUML,64727,UDF
2,3,Udma,199775,160909,K. Kunhiraman,CPIM,70679,LDF
3,4,Kanhangad,204407,161281,E. Chandrasekharan,CPI,80558,LDF
4,5,Trikaripur,189819,155720,M. Rajagopalan,CPIM,79286,LDF
5,6,Payyannur,175319,143469,C. Krishnan,CPIM,83226,LDF
6,7,Kalliasseri,176793,138758,T. V. Rajesh,CPIM,83006,LDF
7,8,Taliparamba,197195,159977,James Mathew,CPIM,91106,LDF
8,9,Irikkur,188174,148073,K. C. Joseph,INC,72548,UDF
9,10,Azhikode,172105,141534,K. M. Shaji,IUML,63082,UDF
10,11,Kannur,162625,126203,Ramachandran Kadannappalli,CS,54347,LDF
11,12,Dharmadam,183791,153660,Pinarayi Vijayan,CPIM,87329,LDF
12,13,Thalassery,166652,132674,A. N. Shamseer,CPIM,70741,LDF
13,14,Kuthuparamba,179886,146611,K. K. Shylaja Teacher,CPIM,67013,LDF
14,15,Mattannur,177722,148702,E. P. Jayarajan,CPIM,84030,LDF
15,16,Peravoor,168330,136526,Sunny Joseph,INC,65659,UDF
16,17,Mananthavady,187688,145596,O. R. Kelu,CPIM,62436,LDF
17,18,Sulthanbathery,218199,172044,I. C. Balakrishnan,INC,75747,UDF
18,19,Kalpetta,190879,150970,C. K. Saseendran,CPIM,72959,LDF
19,20,Vadakara,158057,129590,C. K. Nanu,JDS,49211,LDF
20,21,Kuttiadi,181907,157814,Parakkal Abdulla,IUML,71809,UDF
21,22,Nadapuram,200522,162950,E. K. Vijayan,CPI,74742,LDF
22,23,Quilandy,188135,153726,K. Dasan,CPIM,70593,LDF
23,24,Perambra,179200,153429,T. P. Ramakrishnan,CPIM,72359,LDF
24,25,Balusseri,209503,174595,Purushan Kadalundy,CPIM,82914,LDF
25,26,Elathur,188260,157000,A. K. Saseendran,NCP,76387,LDF
26,27,Kozhikode North,169590,132647,A. Pradeep Kumar,CPIM,64192,LDF
27,28,Kozhikode South,148895,115626,M. K. Muneer,IUML,49863,UDF
28,29,Beypore,190986,155710,V. K. C. Mammed Koya,CPIM,69114,LDF
29,30,Kunnamangalam,209958,180351,P. T. A. Rahim,LDF,77410,LDF
30,31,Koduvally,167618,137402,Karat Razack,LDF,61033,LDF
31,32,Thiruvambady,168262,135697,George M. Thomas,CPIM,62324,LDF
32,33,Kondotty,188264,149595,T. V. Ibrahim,IUML,69668,UDF
33,34,Eranad,165979,135856,P. K. Basheer,IUML,69048,UDF
